流水號,名稱與備註,教授,學分,時間,教室,選修別,全與半,分發條件內容
22028PH1038-*,普通物理BGeneral Physics B,羅健榮,3,二78/S5-113四56/S5-113,科學五館-113,必修,半,"['系所:限生命科學系。年級:限一年級。', '系所:限生命科學系。', '年級:限非一年級。']"
22029PH1044-*,普通物理學IIGeneral Physics II,楊仲準,3,二678/S4-202,健雄館(科學四館)-202,選修,半,"['系所:限物理學系。年級:限一年級。', '系所:限物理學系。', '年級:限非一年級。']"
22030PH2004-*,應用數學Applied Mathematics,唐毓慧,3,二5/S4-204四34/S4-204,健雄館(科學四館)-204,必修,全,"['系所:限物理學系。年級:限二年級。', '系所:限輔系-物理學系、雙主修-物理學系。', '系所:限物理學系、理學院學士班。', '年級:限非二年級。', '系所:限理學院學士班。年級:限二年級。', '系所:限第二專長-物理。']"
22031PH2010-*,波動物理學Physics of Waves,廖文德,3,一34/S4-203三2/S4-203,健雄館(科學四館)-203,選修,半,"['系所:限物理學系。', '系所:限理學院學士班。']"
22032PH2030-A,實驗物理與方法IIExperimental Physics and Method II,伊林,6,三56789/S4-203三AB/S4-302,健雄館(科學四館)-302,必修,半,[]
22034PH2030-C,實驗物理與方法IIExperimental Physics and Method II,林孟凱,6,三56789AB/S4-306,健雄館(科學四館)-306,必修,半,[]
22035PH2034-*,普通天文學,周翊,3,一78/S4-205四2/S4-205,健雄館(科學四館)-205,選修,半,"['系所:限物理學系、理學院學士班。年級:限二年級。指定課程:必須先修PH2033。', '系所:限物理學系、理學院學士班。', '年級:限非二年級。', '指定課程:必須先修PH2033。', '系所:限學分學程-天文。指定課程:必須先修PH2033。', '系所:限學分學程-太空科技與工程。指定課程:必須先修PH2033。', '學制:限學士班。指定課程:必須先修PH2033。']"
22036PH3009-A,量子物理Quantum Physics,陳永富,3,一2/S4-202三34/S4-202,健雄館(科學四館)-202,必修,半,[]
22037PH3009-B,量子物理Quantum Physics,林伯儒,3,一2/S4-203三34/S4-203,健雄館(科學四館)-203,必修,半,[]
22038PH3016-*,物理專題IISpecial Topics on Physics II須修習過物理系專業課程至少,教授群,3,一1/*-***二12/*-***,其他-***,必修,半,[]
22039PH3018-*,論文研習與撰寫IIThesis Research and Writing II須修習過物理系專業課程至少,教授群,3,三Z/*-***四Z/*-***五Z/*-***,其他-***,必修,半,[]
22040PH3042-*,固態物理導論Introduction to Solid State Physics,羅夢凡,3,五678/S4-204,健雄館(科學四館)-204,選修,半,[]
22041PH3046-*,天文觀測,饒兆聰,3,二5/S4-202五34/S4-202,健雄館(科學四館)-202,選修,半,"['系所:限物理學系、理學院學士班。年級:限三年級。指定課程:必須先修PH3045。', '系所:限物理學系、理學院學士班。', '年級:限非三年級。', '指定課程:必須先修PH3045。', '系所:限學分學程-天文、學分學程-太空科技與工程。指定課程:必須先修PH3045。', '學制:限學士班。指定課程:必須先修PH3045。']"
22042PH3054-*,天文物理導論Introduction to Astrophysics,周翊,3,一6/S4-205三34/S4-205,健雄館(科學四館)-205,選修,半,"['系所:限物理學系、理學院學士班。年級:限二年級。', '系所:限物理學系、理學院學士班。', '年級:限非二年級。', '系所:限學分學程-天文、學分學程-太空科技與工程。', '學制:限學士班。']"
22043PH3057-*,計算物理導論Introduction to Computational Physics必須先修PH,陳仕宏,3,一34/S4-625四78/S4-625,健雄館(科學四館)-625,選修,半,['指定課程:必須先修PH2003。且檢定指定課程平均成績達60分以上。']
22046PH4016-*,物理專題IVSpecial Topics on Physics IV須修習過物理系專業課程至少,教授群,3,一1/*-***二12/*-***,其他-***,必修,半,[]
22047PH4018-*,論文研習與撰寫IVThesis Research and Writing IV須修習過物理系專業課程至少,教授群,3,三Z/*-***四Z/*-***五Z/*-***,其他-***,必修,半,[]
22048PH4035-*,相對論導論Introduction to Relativity,林宗泰,3,一5/S4-205四34/S4-205,健雄館(科學四館)-205,選修,半,[]
22052PH6016-*,物理教學研習,教授群,0,一Z/*-***,其他-***,必修,半,[]
22054PH6052-*,專題,教授群,2,二12/*-***,其他-***,選修,半,[]
22055PH6054-*,專題研究,教授群,1,一1/*-***,其他-***,選修,半,[]
22061PH8002-*,專題,教授群,2,二12/*-***,其他-***,選修,半,[]
22062PH8004-*,專題,教授群,2,二12/*-***,其他-***,選修,半,[]
22063PH8006-*,專題,教授群,2,二12/*-***,其他-***,選修,半,[]
22064PH8008-*,專題,教授群,2,二12/*-***,其他-***,選修,半,[]
22065PH8010-*,專題,教授群,2,二12/*-***,其他-***,選修,半,[]
22066PH8012-*,專題研究,教授群,1,一1/*-***,其他-***,選修,半,[]
22067PH8014-*,專題研究,教授群,1,三1/*-***,其他-***,選修,半,[]
22068PH9998-*,計算機系統應用與實務操作Computer System Application and Practical Training實際上課時間,廖文德,0,一Z/S4-719二Z/S4-719,健雄館(科學四館)-719,選修,半,[]
22076PHT064-A,初級中文二Elementary Chinese II限中研院國際研究生院MST學程學生修習,陳賜原,0,二ABC/*-中5,其他-國際生教學研究大樓,選修,半,['系所:限物理學系碩士班、物理學系博士班。']
22077PHT064-B,初級中文二Elementary Chinese II授課週數,陳賜原,0,三ABC/*-中5,其他-國際生教學研究大樓,必修,半,['系所:限物理學系碩士班、物理學系博士班。']
23002CM1004-X,普通化學實驗General Chemistry Laboratory,杜遠朋,1,二567/S2-201,科學三館-201,必修,半,"['系所:限化學學系。年級:限一年級。', '系所:限化學學系。', '年級:限非一年級。']"
23003CM1008-A,普通化學實驗General Chemistry Laboratory欲加選此門課,廖康廩,1,四567/S2-201,科學三館-201,必修,半,['系所:限大氣科學學系。年級:限一年級。']
23004CM1008-B,普通化學實驗General Chemistry Laboratory欲加選此門課,林子超,1,五678/S2-201,科學三館-201,必修,半,['系所:限光電科學與工程學系。年級:限一年級。']
23005CM1010-A,普通化學,廖康廩,3,三56/S1-503五34/S1-503,科學二館-503,必修,半,"['系所:限生命科學系。年級:限一年級。', '系所:限理學院學士班。年級:限一年級。', '系所:限理學院學士班、生醫科學與工程學系。', '年級:限非一年級。', '系所:限生命科學系。', '年級:限非一年級。']"
23006CM1010-B,普通化學,廖康廩,3,三78/S1-503五12/S1-503,科學二館-503,必修,半,"['系所:限生醫科學與工程學系。年級:限一年級。', '系所:限理學院學士班、生命科學系、生醫科學與工程學系。', '年級:限非一年級。']"
23007CM2011-*,化學數學,張伯琛,2,二12/S1-503,科學二館-503,選修,半,"['系所:限化學學系。年級:限二年級。', '系所:限化學學系。年級:限三年級、四年級、延修生。', '系所:限雙主修-化學學系。']"
23008CM2012-*,化學動力學Chemical kinetics,杜遠朋,2,一34/S1-502,科學二館-502,選修,半,"['系所:限化學學系。年級:限三年級。', '系所:限化學學系。年級:限二年級、四年級。']"
23009CM2022-*,分析化學Analytical Chemistry須先修普化,姚學麟歐陽長風,4,三12/S1-502五34/S1-502,科學二館-502,必修,半,"['系所:限化學學系。年級:限二年級。', '系所:限化學學系。年級:限三年級、四年級。', '系所:限輔系-化學學系、雙主修-化學學系。', '系所:限理學院學士班。', '年級:限非一年級。']"
23010CM2032-*,有機化學Organic Chemistry須先修普化,侯敦仁,4,二78/S1-502四12/S1-502,科學二館-502,必修,半,"['系所:限化學學系。年級:限二年級。', '系所:限化學學系。年級:限三年級、四年級、延修生。', '系所:限輔系-化學學系、雙主修-化學學系。', '系所:限理學院學士班。', '年級:限非一年級。']"
23011CM2082-*,分析與有機化學實驗Analytical and Organic Chemistry Laboratory須先修普化實驗,侯敦仁王家麟,3,三56789A/S2-102,科學三館-102,必修,半,"['系所:限化學學系。年級:限二年級。', '系所:限理學院學士班。', '年級:限非一年級。', '系所:限化學學系。年級:限三年級、四年級。']"
23012CM3042-*,物理化學Physical Chemistry須先修普化,蔡惠旭,4,一12/S1-503三34/S1-503,科學二館-503,必修,半,"['系所:限化學學系。年級:限三年級。', '系所:限化學學系。年級:限四年級。', '系所:限輔系-化學學系、雙主修-化學學系。', '系所:限理學院學士班。年級:限三年級、四年級。']"
23013CM3044-*,物理化學實驗Physical Chemistry Laboratory須先修普化實驗,蔡惠旭,2,一56789A/S2-112,科學三館-112,必修,半,"['系所:限化學學系。年級:限三年級。', '系所:限理學院學士班。年級:限三年級、四年級。', '系所:限化學學系。年級:限四年級。']"
23016CM4002-A,書報討論Topic Seminar,吳國暉,1,二56/S1-503,科學二館-503,必修,半,"['系所:限化學學系。年級:限四年級。', '系所:限理學院學士班。', '系所:限雙主修-化學學系。']"
23017CM4002-B,書報討論Topic Seminar,陳家原,1,二56/S1-518,科學二館-518,必修,半,"['系所:限化學學系。年級:限四年級。', '系所:限理學院學士班。', '系所:限雙主修-化學學系。']"
23018CM4004-*,專題研究,杜遠朋李韋宗謝發坤陳銘洲吳春桂蔡惠旭,2,一56789A/*-***,其他-***,選修,半,[]
23019CM4006-*,專題研究,李韋宗謝發坤陳銘洲吳國暉蔡惠旭高憲明李文仁,2,一56789A/*-***,其他-***,選修,半,[]
23020CM4032-*,群論在化學上的應用Group theory in chemistry,吳國暉,3,四789/S1-503,科學二館-503,選修,半,"['系所:限化學學系。年級:限二年級。', '系所:限化學學系。年級:限三年級、四年級。']"
23023CM6006-A,專題討論,吳春桂,1,四56/S1-522,科學二館-522,必修,半,['系所:限化學學系碩士班。年級:限一年級。學號:限單號。']
23024CM6006-B,專題討論,高憲明,1,四56/S1-518,科學二館-518,必修,半,['系所:限化學學系碩士班。年級:限一年級。學號:限雙號。']
23025CM6008-A,專題討論,王家麟,1,二56/S1-502,科學二館-502,必修,半,['系所:限化學學系碩士班。年級:限二年級。學號:限單號。']
23026CM6008-B,專題討論,侯敦仁,1,四56/S1-503,科學二館-503,必修,半,['系所:限化學學系碩士班。年級:限二年級。學號:限雙號。']
23027CM6011-*,研究技術,吳春桂,2,三78/S1-518,科學二館-518,選修,半,['系所:限化學學系碩士班、化學學系博士班。']
23029CM6031-*,高等有機化學Advanced Orangic Chemistry,李文仁,3,四789/S1-502,科學二館-502,選修,半,['系所:限化學學系碩士班、化學學系博士班。']
23030CM6034-*,有機光譜分析Spectroscopic Method in Organic Chemistry不開放旁聽,林子超,3,二789/S1-503,科學二館-503,選修,半,"['系所:限化學學系碩士班、化學學系博士班。', '系所:限化學學系。年級:限三年級、四年級。']"
23033CM6051-*,高等無機化學Advanced Inorganic Chemistry先修,陳家原,3,四789/S1-518,科學二館-518,選修,半,['系所:限化學學系碩士班、化學學系博士班。']
23034CM6063-*,固態化學Solid state Chemistry,李光華,3,五234/S1-518,科學二館-518,選修,半,"['系所:限化學學系碩士班、化學學系博士班。', '系所:限化學學系。年級:限三年級、四年級。']"
23036CM6087-*,觸媒與高分子特論Special Topic of Catalysis and Polymerization Chemistry大學部學生若要選修,陳銘洲,3,三678/S1-302,科學二館-302,選修,半,['系所:限化學學系碩士班、化學學系博士班。']
23037CM6096-*,論文研究,指導教授,2,六34/S1-502,科學二館-502,必修,半,"['系所:限化學學系碩士班。年級:限一年級。', '系所:限化學學系碩士班。']"
23038CM6098-*,論文研究,指導教授,2,六34/S1-503,科學二館-503,必修,半,"['系所:限化學學系碩士班。年級:限二年級。', '系所:限化學學系碩士班。']"
23041CM7099-*,論文研究Thesis Research,指導教授,2,六34/S1-518,科學二館-518,必修,半,['系所:限化學學系博士班。']
24002LS1004-*,普通生物學實驗General Biology Laboratory,許斐婷葉淑丹黃佳瑜,1,五5/S5-113五67/S5-203,科學五館-203,必修,全,"['系所:限生命科學系。年級:限一年級。', '系所:限生命科學系。年級:限二年級、三年級、四年級。', '系所:限理學院學士班、輔系-生命科學系、雙主修-生命科學系、第二專長-生物多樣性、第二專長-生物科技。']"
24005LS1020-*,偏鄉學校科學教案之發想,范世榮,2,四78/S5-113,科學五館-113,選修,半,['系所:限生命科學系。年級:限一年級。']
24007LS2004-*,生物化學實驗Biochemistry Laboratory如電腦選課之後還有名額,吳沛翊粘仲毅,1,二5/S5-113二67/S5-214,科學五館-214,必修,全,"['系所:限生命科學系。年級:限二年級。', '系所:限生命科學系。年級:限三年級、四年級。', '系所:限理學院學士班、輔系-生命科學系、雙主修-生命科學系、第二專長-生物多樣性、第二專長-生物科技。']"
24009LS2014-*,植物生理學實驗Plant Physiology Laboratory輔系,吳少傑葉靖輝,1,四2/S5-112四34/S5-203,科學五館-203,必修,半,"['系所:限生命科學系。年級:限二年級。', '系所:限生命科學系。', '年級:限非二年級。']"
24015LS3020-*,動物生理學實驗Animal Physiology Laboratory輔系,黃佳瑜羅月霞,1,一5/S5-113一67/S5-214,科學五館-214,必修,半,"['系所:限生命科學系。年級:限三年級。', '系所:限生命科學系。年級:限四年級。', '系所:限輔系-生命科學系、雙主修-生命科學系、第二專長-生物多樣性、第二專長-生物科技。', '系所:限理學院學士班。年級:限三年級、四年級。']"
24019LS4005-A,專題研究BThesis Research B,黃佳瑜葉淑丹王健家陳宗祺,2,一Z/S5-214二Z/S5-214四Z/S5-214五Z/S5-214,科學五館-214,選修,半,"['系所:限生命科學系。年級:限三年級、四年級。', '系所:限理學院學士班。年級:限三年級、四年級。', '系所:限雙主修-生命科學系。']"
24020LS4005-B,專題研究BThesis Research B,劉阜果吳少傑范世榮陳盛良粘仲毅,2,一Z/S5-203二Z/S5-203四Z/S5-203五Z/S5-203,科學五館-203,選修,半,"['系所:限生命科學系。年級:限三年級、四年級。', '系所:限理學院學士班。年級:限三年級、四年級。', '系所:限雙主修-生命科學系。']"
24021LS4005-C,專題研究BThesis Research B,許斐婷葉靖輝吳沛翊羅月霞,2,一Z/S5-113二Z/S5-113四Z/S5-113五Z/S5-113,科學五館-113,選修,半,"['系所:限生命科學系。年級:限三年級、四年級。', '系所:限理學院學士班。年級:限三年級、四年級。', '系所:限雙主修-生命科學系。']"
24028LS5073-*,茶作基礎概論,胡智益楊美珠,3,五678/S5-113,科學五館-113,選修,半,"['系所:限生命科學系、生命科學系碩士班、生命科學系博士班。', '系所:限學分學程-生科職涯。', '學制:限學士班、碩士班、博士班。']"
24050LS7015-*,生命科學教學實習Life Science Teaching Training限生科系博士班,吳少傑黃佳瑜許斐婷葉靖輝吳沛翊粘仲毅高永旭葉淑丹羅月霞,0,五Z/S5-203一Z/S5-203,科學五館-203,選修,半,['系所:限生命科學系博士班。']
24053LS9998-*,研究實習Research Training限生科系及生科所,教授群,0,六12/*-老師,其他-各老師研究室,選修,半,['系所:限生命科學系碩士班、生命科學系博士班。年級:限一年級、二年級。']
25001ST6005-*,統計計算,王紹宣,3,三234/M-605,鴻經館-605,選修,半,"['學制:限碩士班、博士班。', '指定課程:必須先修ST6038。且檢定指定課程平均成績達70分以上。']"
25002ST6013-*,存活分析,曾議寬,3,一678/M-708,鴻經館-708,選修,半,"['學制:限碩士班、博士班。', '學制:限學士班。指定課程:必須先修ST6038。且檢定指定課程平均成績達70分以上。']"
25003ST6023-*,實驗設計,黃世豪,3,三567/M-708,鴻經館-708,選修,半,[]
25004ST6035-*,計量財務,孫立憲,3,三678/M-707,鴻經館-707,選修,半,[]
25005ST6045-*,多變量分析,王紹宣,3,四678/M-605,鴻經館-605,選修,半,"['學制:限碩士班、博士班。', '學制:限學士班。指定課程:必須先修ST6021、先修ST6038。且檢定指定課程平均成績達70分以上。']"
25007ST6082-*,專題研究,各教授,1,一1/*-***,其他-***,選修,半,['系所:限統計研究所碩士班。']
25008ST6084-*,書報討論,鄒宗山,1,四5/M-605,鴻經館-605,選修,半,['系所:限統計研究所碩士班、統計研究所博士班。']
25010ST7029-*,相關性資料分析Correlated Data Analysis,鄒宗山,3,五234/M-605,鴻經館-605,選修,半,"['學制:限碩士班、博士班。', '學制:限學士班。指定課程:必須先修ST6021、先修ST6038。且檢定指定課程平均成績達70分以上。']"
25011ST7059-*,貝氏分析,樊采虹,3,一34/M-605二2/M-605,鴻經館-605,選修,半,[]
25013ST7070-*,專題演講IIcolloquium II,孫立憲,0,二4/M-610,鴻經館-610,必修,半,['系所:限統計研究所碩士班、統計研究所博士班。']
25014ST8082-*,專題研究,各教授,1,二1/*-***,其他-***,選修,半,['系所:限統計研究所博士班。']
26001OS1007-*,光電科技概論IIIntroduction to Optics and Photonics II,鄭恪亭,1,四12/IL-116,國鼎光電大樓-116,必修,半,"['系所:限光電科學與工程學系。年級:限一年級。', '系所:限光電科學與工程學系、理學院學士班。', '系所:限輔系-光電科學與工程學系、雙主修-光電科學與工程學系。']"
26002OS1010-*,專題四Special Topics Research IV,戴朝義,2,三Z/IL-111四Z/IL-111,國鼎光電大樓-111,選修,半,['系所:限光電科學與工程學系。']
26009OS2021-*,專題五Special Topics Research V,張殷榮,2,三Z/IL-112四Z/IL-112,國鼎光電大樓-112,選修,半,['系所:限光電科學與工程學系。']
26010OS3001-*,光學系統Optical Systems,孫慶成,3,四789/IL-203,國鼎光電大樓-203,必修,半,"['系所:限光電科學與工程學系。年級:限三年級。', '系所:限光電科學與工程學系。年級:限一年級、二年級、四年級。', '系所:限理學院學士班。', '系所:限輔系-光電科學與工程學系、雙主修-光電科學與工程學系。']"
26011OS3002-*,光電工程概論Introduction to Electro,陳思妤,3,一56/IL-203三2/IL-203,國鼎光電大樓-203,必修,半,"['系所:限光電科學與工程學系。年級:限三年級。', '系所:限輔系-光電科學與工程學系、雙主修-光電科學與工程學系。', '系所:限光電科學與工程學系、理學院學士班。']"
26012OS3010-A,光電實驗Experiments in Photonics,陳怡君,1,三6789/IL-106,國鼎光電大樓-106,必修,半,"['系所:限光電科學與工程學系。年級:限三年級。學號:限單號。', '系所:限理學院學士班。年級:限三年級。學號:限單號。']"
26013OS3010-B,光電實驗Experiments in Photonics,戴朝義,1,二789A/IL-106,國鼎光電大樓-106,必修,半,"['系所:限光電科學與工程學系。年級:限三年級。學號:限雙號。', '系所:限理學院學士班。年級:限三年級。學號:限雙號。']"
26014OS3019-*,專題六Special Topics Research VI,鍾德元,2,三Z/IL-113四Z/IL-113,國鼎光電大樓-113,選修,半,['系所:限光電科學與工程學系。']
26018OS6023-*,輻射與檢測Radiation and Detection,楊宗勳,3,三ABC/IL-203,國鼎光電大樓-203,選修,半,"['系所:限光電科學與工程學系碩士班、光電科學與工程學系照明與顯示科技碩士班、光電科學與工程學系碩士在職專班、光電科學與工程學系博士班、光電博士學位學程(台灣聯合大學系統)、光電科學與工程學系光電產業碩士專班。', '系所:限光電科學與工程學系、理學院學士班。']"
26019OS6038-*,高等應用數學Advanced Applied Mathematics,欒丕綱,3,四678/IL-111,國鼎光電大樓-111,選修,半,[]
26020OS6040-*,書報討論Seminar,張勝雄張瑞芬,0,五67/IL-104,國鼎光電大樓-104,必修,半,"['系所:限光電科學與工程學系。', '系所:限光電科學與工程學系碩士班、光電科學與工程學系照明與顯示科技碩士班、光電科學與工程學系博士班、光電博士學位學程(台灣聯合大學系統)、光電科學與工程學系光電產業碩士專班。']"
26022OS6061-*,雷射與非線性光學專題Laser and nonlinear optics,陳彥宏,3,一234/IL-113,國鼎光電大樓-113,選修,半,[]
26025OS6077-*,近代全像專題Topics on Modern Holography,余業緯,3,四234/IL-111,國鼎光電大樓-111,選修,半,[]
26026OS7009-*,量子光學Quantum Optics,蔡秉儒,3,三678/IL-203,國鼎光電大樓-203,選修,半,[]
26027OS7020-*,光機設計專題Topics on Optical Mechanics Design,陳啟昌,3,五4Z5/IL-112,國鼎光電大樓-112,選修,半,[]
26028OS7084-*,光子晶體Photonic Crystals,欒丕綱,3,三234/IL-112,國鼎光電大樓-112,選修,半,[]
26029OS7096-*,應用量子力學Applied Quantum Mechanics,欒丕綱,3,二678/IL-111,國鼎光電大樓-111,選修,半,[]
26030OS7128-*,氮化物光電元件專題Topics of Nitride,賴昆佑,2,一67/IL-113,國鼎光電大樓-113,選修,半,[]
26031OS7143-*,光學檢測專題Special Topics in Optical Shop Testing,梁肇文,3,三678/IL-112,國鼎光電大樓-112,選修,半,['系所:限光電科學與工程學系、光電科學與工程學系碩士班、光電科學與工程學系照明與顯示科技碩士班、光電科學與工程學系博士班。']
26032OS7149-B,晶體光學Crystal  Optics上課時間,游漢輝,3,五ABC/IL-116,國鼎光電大樓-116,選修,半,"['系所:限光電科學與工程學系碩士班、光電科學與工程學系照明與顯示科技碩士班。', '系所:限光電科學與工程學系碩士在職專班、光電科學與工程學系博士班、光電博士學位學程(台灣聯合大學系統)、光電科學與工程學系光電產業碩士專班。']"
26034OS7159-*,有機元件模擬專題Special topics of organic device simulation,張瑞芬,3,四789/IL-112,國鼎光電大樓-112,選修,半,['系所:限光電科學與工程學系碩士班、光電科學與工程學系照明與顯示科技碩士班、光電科學與工程學系碩士在職專班、光電科學與工程學系博士班。']
26036OS7170-*,光遺傳學專題Special Topics of Optogenetics,簡汎清,3,一34Z/IL-112,國鼎光電大樓-112,選修,半,[]
26038OS7184-*,同步輻射光源Synchrotron Radiation Source,李耀昌,3,三789/IL-317,國鼎光電大樓-317,選修,半,['系所:限光電科學與工程學系碩士班、光電科學與工程學系照明與顯示科技碩士班、光電科學與工程學系碩士在職專班、光電科學與工程學系博士班、光電博士學位學程(台灣聯合大學系統)、光電科學與工程學系光電產業碩士專班。']
26040OS7195-*,有機半導體物理與檢測Organic semiconductor physics and characterization,張瑞芬,3,三678/IL-113,國鼎光電大樓-113,選修,半,[]
26041OS7215-*,光電領域科技英文寫作Scientific English writing in optoelectronics,張勝雄,3,二234/IL-111,國鼎光電大樓-111,選修,半,[]
26042OSA022-*,電子學Microelectronics上課時間,楊宗勳,3,四ABC/IL-116,國鼎光電大樓-116,選修,半,['系所:限光電科學與工程學系碩士在職專班。']
27005NS5025-*,獨立研究,鄭仕坤,3,四567/S5-603,科學五館-603,選修,半,['學制:限碩士班、博士班。學院:限生醫理工學院。系所:限認知神經科學研究所碩士班、認知神經科學研究所博士班、跨領域神經科學博士學位學程(台灣聯合大學系統)、跨領域神經科學國際研究生博士學位學程。']
27006NS5040-*,獨立研究,張智宏,3,四567/S5-601,科學五館-601,選修,半,['學院:限生醫理工學院。系所:限認知神經科學研究所碩士班、認知神經科學研究所博士班、跨領域神經科學博士學位學程(台灣聯合大學系統)、跨領域神經科學國際研究生博士學位學程。']
27007NS5060-*,獨立研究,阮啓弘,3,一678/S5-607-1,科學五館-607-1,選修,半,['學院:限生醫理工學院。系所:限認知神經科學研究所碩士班、認知神經科學研究所博士班、跨領域神經科學博士學位學程(台灣聯合大學系統)、跨領域神經科學國際研究生博士學位學程。']
27008NS5066-*,獨立研究,謝宜蕙,3,三567/S5-617,科學五館-617,選修,半,['學院:限生醫理工學院。系所:限認知神經科學研究所碩士班、認知神經科學研究所博士班。']
27011NS5126-*,腦影像數據分析專案與實務Brainhack projects in practice,徐峻賢徐慈妤,3,一89A/S5-617,科學五館-617,選修,半,"['系所:限認知神經科學研究所碩士班、認知神經科學研究所博士班。', '學院:限生醫理工學院。']"
27014NS5132-*,獨立研究,徐峻賢,3,二34Z/S5-602-1,科學五館-602-1,選修,半,['學制:限碩士班、博士班。學院:限生醫理工學院。系所:限認知神經科學研究所碩士班、認知神經科學研究所博士班、跨領域神經科學博士學位學程(台灣聯合大學系統)、跨領域神經科學國際研究生博士學位學程。']
27015NS5134-*,進階腦訊號自適性特徵生成與統計分類Advanced Adaptive Data Analysis for Feature Formation and Statistical Classification in Neuroscience,梁偉光,3,二234/S5-607-1,科學五館-607-1,選修,半,['系所:限認知神經科學研究所碩士班、認知神經科學研究所博士班、跨領域神經科學博士學位學程(台灣聯合大學系統)、跨領域神經科學國際研究生博士學位學程。']
28001JS1002-*,跨領域書報討論IIInterdisciplinary Seminar II,楊宗勳,1,六12/S4-204,健雄館(科學四館)-204,必修,半,"['系所:限理學院學士班。年級:限一年級。', '系所:限理學院學士班。年級:限二年級、三年級、四年級。']"
28002JS3002-*,專題研究IISpecial Topics II,李紀倫賴昆佑,3,六34Z/*-***,其他-***,選修,半,['系所:限理學院學士班。年級:限二年級、三年級、四年級。']
28003JS3004-*,專題研究,王智明廖康廩,3,六34Z/*-***,其他-***,選修,半,['系所:限理學院學士班。年級:限二年級、三年級、四年級。']
28004JS4001-*,跨領域成果展示Interdisciplinary Seminar,吳國暉,1,六8/S4-204,健雄館(科學四館)-204,必修,半,['系所:限理學院學士班。年級:限四年級。']
28005JS4003-*,產業實習,楊宗勳李紀倫廖康廩張殷榮,1,六5/*-***,其他-***,選修,半,['學院:限理學院。系所:限理學院學士班。']
28006JS4005-*,產業實習,楊宗勳李紀倫廖康廩張殷榮,2,六67/*-***,其他-***,選修,半,['學院:限理學院。系所:限理學院學士班。']
31001EI2101-*,專題製作,指導教授,1,六B/*-***,其他-***,必修,半,['系所:限工學院學士班。']
31002EI2202-*,專題製作,指導教授,1,六A/*-***,其他-***,必修,半,"['系所:限工學院學士班。年級:限二年級。', '系所:限工學院學士班。']"
31003EI3103-*,社會實踐專題 ISocial Practice Project I,指導教授,3,六ABC/*-***,其他-***,必修,半,['系所:限工學院學士班。年級:限三年級。']
31004EI3202-*,專題製作 IVSpecial Projects IV實際上課時間依指導教授規定,指導教授,1,六A/*-***,其他-***,必修,半,"['系所:限工學院學士班。年級:限三年級。', '系所:限工學院學士班。']"
31005EI4301-*,畢業專題Capstone Project實際上課時間依指導教授規定,指導教授,3,六A/*-***,其他-***,必修,半,['系所:限工學院學士班。年級:限四年級。']
32001CI0103-*,工程日文IIEngineering Japanese II限土木系大學部及碩博班選修,余秋菊,3,五789/E-250,工程一館-250,選修,半,"['系所:限土木工程學系。', '系所:限土木工程學系碩士班、土木工程學系博士班。']"
32002CI1005-A,應用力學Applied Mechanics,賴勇安,3,二AB/E-247三5/E-247四67/E-247,工程一館-247,必修,半,"['系所:限土木工程學系。年級:限一年級。班別:限A。', '系所:限土木工程學系。', '年級:限非一年級。', '系所:限工學院學士班。', '系所:限輔系-土木工程學系、雙主修-土木工程學系。']"
32003CI1005-B,應用力學Applied Mechanics,蘇昱臻,3,二AB/E-250三5/E-250四67/E-250,工程一館-250,必修,半,"['系所:限土木工程學系。年級:限一年級。班別:限B。', '系所:限土木工程學系。', '年級:限非一年級。', '系所:限工學院學士班。', '系所:限輔系-土木工程學系、雙主修-土木工程學系。']"
32005CI2005-B,工程材料學Engineering Materials,王韡蒨,3,二67/E-247三6/E-247,工程一館-247,必修,半,"['系所:限土木工程學系。年級:限一年級。班別:限B。', '系所:限土木工程學系。', '年級:限非一年級。', '系所:限工學院學士班。']"
32006CI2007-A,工程圖學Engineering Drafting and DrawingA,李姿瑩,1,二5/E-247二AB/E-315,工程一館-315,必修,半,"['系所:限土木工程學系。年級:限四年級。', '系所:限工學院學士班。', '系所:限土木工程學系。年級:限三年級。']"
32007CI2007-B,工程圖學Engineering Drafting and DrawingA,李姿瑩,1,三AB/E-315四3/E-247,工程一館-247,必修,半,"['系所:限土木工程學系。年級:限四年級。', '系所:限土木工程學系。年級:限三年級。', '系所:限工學院學士班。']"
32008CI2018-A,工程數學,張瑞宏,3,三34/E-250四4/E-250,工程一館-250,必修,半,"['系所:限土木工程學系。年級:限二年級。指定課程:必須先修MA1004。且檢定指定課程平均成績達50分以上。', '系所:限土木工程學系。年級:限三年級、四年級。指定課程:必須先修MA1004。且檢定指定課程平均成績達50分以上。', '系所:限工學院學士班。指定課程:必須先修MA1004。且檢定指定課程平均成績達50分以上。']"
32009CI2018-B,工程數學,林子軒,3,三34/E-247四4/E-247,工程一館-247,必修,半,"['系所:限土木工程學系。年級:限二年級。指定課程:必須先修MA1004。且檢定指定課程平均成績達50分以上。', '系所:限土木工程學系。年級:限三年級、四年級。指定課程:必須先修MA1004。且檢定指定課程平均成績達50分以上。', '系所:限工學院學士班。指定課程:必須先修MA1004。且檢定指定課程平均成績達50分以上。']"
